hash;repo_name;author;date;extension;additions;deletions
8e517da7949eaec302d90104064f037df8345cc4;lets-plot;Ivan Kupriyanov;Tue Oct 22 13:54:15 2024 +0200;kt;17;3
17585fffe32868aa4327d19970c7693a7b2dde72;lets-plot;Artem Smirnov;Tue Oct 22 13:30:28 2024 +0200;md;5;3
ca63ce66074ac3d84cfe22acf49fdb117a27e21b;lets-plot;Artem Smirnov;Tue Oct 22 12:20:20 2024 +0200;ipynb;2199;0
ca63ce66074ac3d84cfe22acf49fdb117a27e21b;lets-plot;Artem Smirnov;Tue Oct 22 12:20:20 2024 +0200;md;2;2
b98d4b383919d7c6642d1ba086abe057f1b42308;lets-plot;Artem Smirnov;Tue Oct 22 11:52:30 2024 +0200;ipynb;30;18
b98d4b383919d7c6642d1ba086abe057f1b42308;lets-plot;Artem Smirnov;Tue Oct 22 11:52:30 2024 +0200;py;11;69
b98d4b383919d7c6642d1ba086abe057f1b42308;lets-plot;Artem Smirnov;Tue Oct 22 11:52:30 2024 +0200;kt;6;3
02faa4b419644577af0ae54ea944e6ecf4657c0e;lets-plot;Igor Alshannikov;Mon Oct 21 20:36:32 2024 -0400;png;0;0
17dddf2b607ea4d83b195d4e1a7d95ce071123d8;lets-plot;Ivan Kupriyanov;Mon Oct 21 23:35:00 2024 +0200;kt;38;1
0f4fa7b5d04e1e353cf29116cc8eb1189d6ba8e8;lets-plot;Ivan Kupriyanov;Mon Oct 21 23:15:43 2024 +0200;kt;280;25
0d1d2530eb99d24978e2463ff14da4b971c2fb33;lets-plot;Igor Alshannikov;Mon Oct 21 15:39:56 2024 -0400;ipynb;14;37
263cd9ec69acf898d8e2c01cc5070b7ea3acfb76;lets-plot;Ivan Kupriyanov;Mon Oct 21 21:13:37 2024 +0200;kt;1;5
d31496e5e464a6227a5e872941167d47a9924396;lets-plot;Ivan Kupriyanov;Mon Oct 21 20:57:11 2024 +0200;kt;5;1
cf87cc71cf6794eb0cd05c88ecbeedc4e6b805d1;lets-plot;Ivan Kupriyanov;Mon Oct 21 20:38:49 2024 +0200;kt;154;52
b0b781fc5dbad4d73067fd2f7768fed206e451c6;lets-plot;Ivan Kupriyanov;Mon Oct 21 20:22:19 2024 +0200;kt;5;4
34036864fbc8ae1471757a2a545ebfa00649e464;lets-plot;Ivan Kupriyanov;Mon Oct 21 20:17:18 2024 +0200;md;1;0
5d06cb07908f294ebb15416beb9e9590eff83c76;lets-plot;Ivan Kupriyanov;Mon Oct 21 17:33:17 2024 +0200;kt;97;15
342ae5e65ccf6c4a0c6e6ea2d7caf5c72f55fb72;lets-plot;Ivan Kupriyanov;Mon Oct 21 16:04:41 2024 +0200;kt;41;13
82d4a5b466a0616c52aa75abbcf879ef088aac9f;lets-plot;Ivan Kupriyanov;Mon Oct 21 13:36:51 2024 +0200;kt;705;182
877d501755b8d524d443b7c827260c4642cf1da9;lets-plot;Igor Alshannikov;Sun Oct 20 21:12:49 2024 -0400;md;1;1
97ed1b50cf6001bbd1dc019ca033b40536db0b62;lets-plot;Igor Alshannikov;Sun Oct 20 21:10:20 2024 -0400;ipynb;301;42
97ed1b50cf6001bbd1dc019ca033b40536db0b62;lets-plot;Igor Alshannikov;Sun Oct 20 21:10:20 2024 -0400;md;1;1
97ed1b50cf6001bbd1dc019ca033b40536db0b62;lets-plot;Igor Alshannikov;Sun Oct 20 21:10:20 2024 -0400;yml;1;1
990cf17cc7f633b2b89a67055e70def9ff8c421a;lets-plot;Valentin Dovidaytis;Fri Oct 18 13:52:00 2024 +0200;kts;1;1
990cf17cc7f633b2b89a67055e70def9ff8c421a;lets-plot;Valentin Dovidaytis;Fri Oct 18 13:52:00 2024 +0200;py;1;1
c244299d36ee5b6544097706fe8e954e64abd9ae;lets-plot;Valentin Dovidaytis;Fri Oct 18 13:49:34 2024 +0200;js;1;1
c244299d36ee5b6544097706fe8e954e64abd9ae;lets-plot;Valentin Dovidaytis;Fri Oct 18 13:49:34 2024 +0200;kts;1;1
